" Indywidualne Mistrzostwa Polski Młodzików
Tuchola 26-27.11.2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-ce,Nazwisko i Imię,Klub,Tor 1,,,,Tor 2,,,,Tor 3,,,,Tor 4,,,,ELIMINACJE,,,,Tor 1,,,,Tor 2,,,,Tor 3,,,,Tor 4,,,,Finał,,,,RAZEM,,,
,,,P ,Zb,X,S,P ,Zb,X,S,P ,Zb,X,S,P ,Zb,X,S,P,ZB,X,Razem,P ,Zb,X,S,P ,Zb,X,S,P ,Zb,X,S,P ,Zb,X,S,P,ZB,X,Razem,P,ZB,X,Razem
20.,Prętki Kevin,KK Dziewiątka-Amica Wronki,78,18,9,96,68,44,2,112,90,35,4,125,82,26,6,108,318,123,21,441,66,24,5,90,86,26,4,112,73,27,8,100,87,16,8,103,312,93,25,405,630,216,46,846
21.,Nowak Wojciech,KS Start Gostyń,71,32,3,103,88,25,4,113,88,26,6,114,77,42,4,119,324,125,17,449,77,8,0,85,76,8,13,84,81,26,5,107,78,34,5,112,312,76,23,388,636,201,40,837
22.,Fraś Marcin,KK Dziewiątka-Amica Wronki,83,23,6,106,88,36,3,124,83,18,7,101,87,23,5,110,341,100,21,441,,,,,,,,,,,,,,,,,,,,,341,100,21,441
23.,Moliński Jakub,KK Dziewiątka-Amica Wronki,71,36,2,107,76,25,4,101,76,31,4,107,81,43,4,124,304,135,14,439,,,,,,,,,,,,,,,,,,,,,304,135,14,439
24.,Nowacki Antoni,KS Polonia 1912 Leszno,87,17,8,104,91,42,1,133,71,34,3,105,67,26,5,93,316,119,17,435,,,,,,,,,,,,,,,,,,,,,316,119,17,435
25.,Kozłowski Bartosz,KK Dziewiątka-Amica Wronki,77,31,4,108,81,25,5,106,78,35,3,113,81,27,3,108,317,118,15,435,,,,,,,,,,,,,,,,,,,,,317,118,15,435
26.,Kraczewski Piotr,KS Polonia 1912 Leszno,82,25,5,107,77,25,7,102,75,35,5,110,81,32,3,113,315,117,20,432,,,,,,,,,,,,,,,,,,,,,315,117,20,432
27.,Izydorek Daniel,KS Czarna Kula Poznań,84,8,10,92,93,34,5,127,75,45,2,120,67,25,5,92,319,112,22,431,,,,,,,,,,,,,,,,,,,,,319,112,22,431
28.,Skalski Michał,KS Pilica Tomaszów Mazowiecki,81,25,9,106,78,23,5,101,76,25,5,101,85,30,4,115,320,103,23,423,,,,,,,,,,,,,,,,,,,,,320,103,23,423
29.,Judek Filip,KK Dziewiątka-Amica Wronki,78,26,6,104,70,25,4,95,70,36,5,106,85,17,8,102,303,104,23,407,,,,,,,,,,,,,,,,,,,,,303,104,23,407
30.,Dworczyk Patryk,OSiR Vector Tarnowo Podgórne,72,36,2,108,70,26,5,96,70,20,6,90,76,27,4,103,288,109,17,397,,,,,,,,,,,,,,,,,,,,,288,109,17,397
31.,Szymański Maciej,KS Zatoka Puck,65,17,8,82,61,43,4,104,74,23,8,97,89,25,5,114,289,108,25,397,,,,,,,,,,,,,,,,,,,,,289,108,25,397
32.,Spryszyński Szymon,KS Zatoka Puck,65,26,8,91,69,35,4,104,84,8,11,92,81,26,5,107,299,95,28,394,,,,,,,,,,,,,,,,,,,,,299,95,28,394
33.,Kubiak Mikołaj,OSiR Vector Tarnowo Podgórne,72,17,7,89,76,25,6,101,69,26,5,95,81,24,5,105,298,92,23,390,,,,,,,,,,,,,,,,,,,,,298,92,23,390
34.,Radzyński Adam,KS Pilica Tomaszów Mazowiecki,74,23,5,97,76,26,5,102,90,17,6,107,51,26,3,77,291,92,19,383,,,,,,,,,,,,,,,,,,,,,291,92,19,383
35.,Korzeniewki Nikodem,MLKS Tucholanka Tuchola,78,18,5,96,59,17,9,76,69,35,1,104,55,25,11,80,261,95,26,356,,,,,,,,,,,,,,,,,,,,,261,95,26,356
36.,Ostrowski Krzysztof,UKS Jedynka Świebodzice,80,27,5,107,62,16,11,78,61,24,6,85,50,26,7,76,253,93,29,346,,,,,,,,,,,,,,,,,,,,,253,93,29,346
37.,Bydłowski Adam,UKS Jedynka Świebodzice,64,17,10,81,49,16,9,65,47,35,11,82,60,9,13,69,220,77,43,297,,,,,,,,,,,,,,,,,,,,,220,77,43,297
38.,Młynarkiewicz Wiktor,UKS Jedynka Świebodzice,39,16,13,55,45,12,14,57,45,23,12,68,43,16,12,59,172,67,51,239,,,,,,,,,,,,,,,,,,,,,172,67,51,239
