Eliminacje młodziczek 11-12.11.2016 r.,,,,,,,
,,,,,,,
Lp,Nazwisko ,Imię ,Klub,,,,
,,,,Pełne,Zbier.,X,Razem
1.,Slavíková,Lucie,SKK Primator Nachod,310,179,7,489
2.,Kaluszka,Monika,KS Pilica Tomaszów Maz.,325,160,9,485
3.,Mervartová ,Helena,SKK Primator Nachod,359,123,10,482
4.,Stachowiak,Marta,OSiR Vector Tarnowo Podg.,331,131,15,462
5.,Kobiór,Nicola,KS Polonia Łaziska Górne,326,135,14,461
6.,Dušková,Michaela,SKK Primator Nachod,319,139,11,458
7.,Roszak,Weronika,KK Dziewiątka-Amica Wronki,296,141,11,437
8.,Konieczna,Julia,KK Dziewiątka-Amica Wronki,313,121,18,434
9.,Kompa,Małgorzata,KS Pilica Tomaszów Maz.,317,117,19,434
10.,Gintarová ,Kateřina,SKK Primator Nachod,325,109,17,434
11.,Banaszak,Aleksandra,KS Start Gostyń,304,129,15,433
12.,Dudzik,Marika,KS Polonia 1912 Leszno,320,110,21,430
13.,Dziamska,Iwona,OSiR Vector Tarnowo Podg.,298,112,18,410
14.,Wąsala,Maja,OSiR Vector Tarnowo Podg.,293,114,21,407
15.,Konieczna,Emilia,KK Dziewiątka-Amica Wronki,275,129,22,404
16.,Przybyła,Nikola,KS Pilica Tomaszów Maz.,284,118,20,402
17.,Bucholc,Dominika,MLKS Tucholanka Tuchola,290,101,26,391
18.,Wysocka,Magdalena,MLKS Tucholanka Tuchola,323,68,30,391
19.,Lewandowska,Katarzyna,KS Pilica Tomaszów Maz.,284,104,25,388
20.,Karpowicz,Maja,KS Polonia Łaziska Górne,285,96,20,381
21.,Strzoda,Daria,KS Polonia Łaziska Górne,291,86,24,377
22.,Schweissing,Natalia,MLKS Tucholanka Tuchola,275,100,24,375
23.,Mormus,Natalia,KS Pilica Tomaszów Maz.,278,76,29,354
24.,Sygitowicz,Oliwia,KS Pilica Tomaszów Maz.,253,90,26,343
25.,Ryś,Sandra,OSiR Vector Tarnowo Podg.,222,84,36,306
