Eliminacje juniorek młodszych 11-12.11.2016 r.,,,,,,,
,,,,,,,
Lp,Nazwisko ,Imię ,Klub,,,,
,,,,Pełne,Zbier.,X,Razem
1.,Wojtaszek,Angelika,KS Pilica Tomaszów Maz.,382,160,7,542
2.,Mroczkiewicz,Katarzyna,KK Dziewiątka-Amica Wronki,365,173,3,538
3.,Jądrzyk,Wiktoria,KK Dziewiątka-Amica Wronki,352,184,2,536
4.,Dudziak,Nicoletta,KS Polonia 1912 Leszno,349,179,6,528
5.,Łochowicz,Anna,KS Polonia 1912 Leszno,329,192,9,521
6.,Brožková,Nina,SKK Primator Nachod,363,151,8,514
7.,Szczepska,Sandra,KK Dziewiątka-Amica Wronki,373,140,9,513
8.,Ciszewska,Angelika,KS Polonia 1912 Leszno,338,169,6,507
9.,Mrowiec,Sandra,OSiR Vector Tarnowo Podg.,338,167,5,505
10.,Gurgul,Karolina,BOSiR Brzesko,352,153,9,505
11.,Paszyk,Julia,KK Dziewiątka-Amica Wronki,359,146,8,505
12.,Boučková,Eliška,SKK Primator Nachod,341,159,7,500
13.,Pawłowska,Joanna,KS Pilica Tomaszów Maz.,346,143,7,489
14.,Cebula,Natalia,BOSiR Brzesko,334,144,10,478
15.,Metelicka,Aleksandra,MLKS Tucholanka Tuchola,309,163,11,472
16.,Batko,Klaudia,BOSiR Brzesko,326,140,11,466
17.,Dziamska,Jagoda,OSiR Vector Tarnowo Podg.,317,134,18,451
18.,Kreft,Agnieszka,TPK Wejherowo,295,148,15,443
19.,Woźniak,Karolina,MLKS Tucholanka Tuchola,297,143,13,440
20.,Babraj,Anna,BOSiR Brzesko,336,96,24,432
21.,Wojciechowska,Adrianna,TSKK Jedność Kościan,295,119,16,414
22.,Benke,Ewa,MLKS Tucholanka Tuchola,297,117,16,414
23.,Paterok,Aleksandra,KS Polonia Łaziska Górne,320,86,25,406
24.,Stróżyńska,Marcelina,KS Polonia 1912 Leszno,278,92,25,370
25.,Liżewska,Julia,KS Polonia Łaziska Górne,247,62,44,309
